Processor,GPU,Method,Samples,Avg. Optimization Time [ms], Std. Dev. Time [ms]
Intel i9-13900K,NVIDIA GTX 1050 Ti,MPPI-Generic,128,0.200793,0.059053999999999995
Intel i9-13900K,NVIDIA GTX 1050 Ti,autorally,128,0.455909,0.159941
Intel i9-13900K,NVIDIA GTX 1050 Ti,torchrl,128,25.603788137435888,2.7138171474565613
Intel i9-13900K,NVIDIA GTX 1050 Ti,MPPI-Generic,256,0.22571100000000002,0.057800699999999997
Intel i9-13900K,NVIDIA GTX 1050 Ti,autorally,256,0.45432100000000003,0.0832647
Intel i9-13900K,NVIDIA GTX 1050 Ti,torchrl,256,29.30788755416873,2.4366536593302537
Intel i9-13900K,NVIDIA GTX 1050 Ti,MPPI-Generic,512,0.301609,0.06577430000000001
Intel i9-13900K,NVIDIA GTX 1050 Ti,autorally,512,0.468811,0.0801855
Intel i9-13900K,NVIDIA GTX 1050 Ti,torchrl,512,29.90781569480895,2.7988644985867723
Intel i9-13900K,NVIDIA GTX 1050 Ti,MPPI-Generic,1024,0.42937700000000006,0.07532749999999999
Intel i9-13900K,NVIDIA GTX 1050 Ti,autorally,1024,0.51198,0.0962865
Intel i9-13900K,NVIDIA GTX 1050 Ti,torchrl,1024,29.90231370925901,2.995227000571961
Intel i9-13900K,NVIDIA GTX 1050 Ti,autorally,2048,0.6297050000000001,0.10401600000000001
Intel i9-13900K,NVIDIA GTX 1050 Ti,MPPI-Generic,2048,0.83698,0.0993271
Intel i9-13900K,NVIDIA GTX 1050 Ti,torchrl,2048,30.389081716537472,2.9189504725041093
Intel i9-13900K,NVIDIA GTX 1050 Ti,autorally,4096,1.20165,0.132191
Intel i9-13900K,NVIDIA GTX 1050 Ti,MPPI-Generic,4096,1.46812,0.134319
Intel i9-13900K,NVIDIA GTX 1050 Ti,torchrl,4096,31.282362222671512,2.708110196085109
Intel i9-13900K,NVIDIA GTX 1050 Ti,autorally,6144,1.7757,0.150588
Intel i9-13900K,NVIDIA GTX 1050 Ti,MPPI-Generic,6144,2.1030599999999997,0.155404
Intel i9-13900K,NVIDIA GTX 1050 Ti,torchrl,6144,34.261162757873514,2.754586372387544
Intel i9-13900K,NVIDIA GTX 1050 Ti,autorally,8192,2.36026,0.169856
Intel i9-13900K,NVIDIA GTX 1050 Ti,MPPI-Generic,8192,2.89317,0.247637
Intel i9-13900K,NVIDIA GTX 1050 Ti,torchrl,8192,37.0794641971588,2.684802959376344
Intel i9-13900K,NVIDIA GTX 1050 Ti,autorally,16384,4.61068,0.254627
Intel i9-13900K,NVIDIA GTX 1050 Ti,MPPI-Generic,16384,5.637980000000001,0.418242
Intel i9-13900K,NVIDIA GTX 1050 Ti,torchrl,16384,51.973490238189676,2.8844667810775335
Intel i9-13900K,NVIDIA GTX 1060 6GB,MPPI-Generic,128,0.180181,0.03471180000000001
Intel i9-13900K,NVIDIA GTX 1060 6GB,autorally,128,0.436403,0.054117200000000004
Intel i9-13900K,NVIDIA GTX 1060 6GB,torchrl,128,24.871830463409406,1.7115697464196449
Intel i9-13900K,NVIDIA GTX 1060 6GB,MPPI-Generic,256,0.191272,0.031385
Intel i9-13900K,NVIDIA GTX 1060 6GB,autorally,256,0.431935,0.0372634
Intel i9-13900K,NVIDIA GTX 1060 6GB,torchrl,256,28.78562426567079,1.5316018376527003
Intel i9-13900K,NVIDIA GTX 1060 6GB,MPPI-Generic,512,0.22590300000000002,0.0314702
Intel i9-13900K,NVIDIA GTX 1060 6GB,autorally,512,0.434337,0.0393827
Intel i9-13900K,NVIDIA GTX 1060 6GB,torchrl,512,28.94483494758607,2.0772360189651287
Intel i9-13900K,NVIDIA GTX 1060 6GB,MPPI-Generic,1024,0.310363,0.034548199999999994
Intel i9-13900K,NVIDIA GTX 1060 6GB,autorally,1024,0.46717700000000006,0.0427389
Intel i9-13900K,NVIDIA GTX 1060 6GB,torchrl,1024,28.369998216629003,1.7124651728199425
Intel i9-13900K,NVIDIA GTX 1060 6GB,MPPI-Generic,2048,0.47919700000000004,0.0393547
Intel i9-13900K,NVIDIA GTX 1060 6GB,autorally,2048,0.544643,0.0671926
Intel i9-13900K,NVIDIA GTX 1060 6GB,torchrl,2048,28.59234642982482,1.4694443173985332
Intel i9-13900K,NVIDIA GTX 1060 6GB,MPPI-Generic,4096,0.890357,0.0535622
Intel i9-13900K,NVIDIA GTX 1060 6GB,autorally,4096,0.986041,0.0777549
Intel i9-13900K,NVIDIA GTX 1060 6GB,torchrl,4096,29.325288772582997,1.7071600263867257
Intel i9-13900K,NVIDIA GTX 1060 6GB,autorally,6144,1.1427,0.0774047
Intel i9-13900K,NVIDIA GTX 1060 6GB,MPPI-Generic,6144,1.31063,0.0632859
Intel i9-13900K,NVIDIA GTX 1060 6GB,torchrl,6144,30.903118371963487,1.6557157084142289
Intel i9-13900K,NVIDIA GTX 1060 6GB,autorally,8192,1.59904,0.0712165
Intel i9-13900K,NVIDIA GTX 1060 6GB,MPPI-Generic,8192,1.75541,0.0702034
Intel i9-13900K,NVIDIA GTX 1060 6GB,torchrl,8192,31.71687722206117,1.3939551235675849
Intel i9-13900K,NVIDIA GTX 1060 6GB,autorally,16384,3.04568,0.635748
Intel i9-13900K,NVIDIA GTX 1060 6GB,MPPI-Generic,16384,3.3372300000000004,0.098572
Intel i9-13900K,NVIDIA GTX 1060 6GB,torchrl,16384,41.26050400733948,1.6095247927535543
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,128,0.179371,0.028955599999999998
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,128,0.443172,0.11594600000000001
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,128,24.62926912307741,1.8050081544816177
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,256,0.184424,0.0294887
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,256,0.43866499999999997,0.035979699999999996
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,256,28.404400587081884,1.4017671781490229
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,512,0.200678,0.0306286
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,512,0.44209799999999994,0.03761319999999999
Intel i9-13900K,NVIDIA GTX 1080 Ti,torchrl,512,28.445260763168346,1.6006617982818052
Intel i9-13900K,NVIDIA GTX 1080 Ti,MPPI-Generic,1024,0.219663,0.0297783
Intel i9-13900K,NVIDIA GTX 1080 Ti,autorally,1024,0.44783199999999995,0.0379423
